id,yield
15000,4698.5321699999995
15001,6319.025176
15002,6721.8244460000005
15003,6119.446174
15004,5708.835524
15005,7454.747828
15006,5504.311152
15007,5248.407566
15008,6372.155848
15009,8006.200108000002
15010,5684.027464
15011,6418.5761840000005
15012,6915.56303
15013,4960.519805999999
15014,6116.836045999999
15015,6477.603496000001
15016,6127.601322
15017,5438.008322
15018,7238.577966
15019,6018.74745
15020,4744.29727
15021,6479.735360000001
15022,4832.94634
15023,4630.074868000001
15024,5659.390681999999
15025,5805.204474
15026,6958.745076000001
15027,6545.227152
15028,6228.243694
15029,4134.801798
15030,5036.186998
15031,8242.081466
15032,5658.752628
15033,5049.570668
15034,6909.604106000001
15035,6297.992038
15036,6336.151094
15037,5808.417076
15038,4566.90728
15039,5628.73317
15040,6557.541728000001
15041,7555.685352
15042,6825.148426
15043,5465.981600000001
15044,6089.419637999999
15045,7130.496038
15046,6133.241035999999
15047,4026.31904
15048,8111.00697
15049,4351.59671
15050,5703.481954
15051,5849.720112
15052,7475.579540000001
15053,6269.5679199999995
15054,6883.1776039999995
15055,7059.371864000001
15056,5786.740041999999
15057,7422.794798
15058,7152.6372759999995
15059,7601.6489
15060,6111.4861439999995
15061,5603.988128
15062,6383.023436000001
15063,6005.3810920000005
15064,5802.957368
15065,6807.6366020000005
15066,6693.29472
15067,5384.164196000001
15068,6087.649348000001
15069,4397.774530000001
15070,4686.357746
15071,7782.186508000001
15072,7823.971668
15073,5971.3214259999995
15074,4694.6475900000005
15075,6968.848832000001
15076,6520.533502
15077,6588.4681120000005
15078,5946.698236
15079,4609.161098
15080,7066.2226439999995
15081,3557.372096
15082,7285.772712
15083,4195.392988
15084,5563.452619999999
15085,5125.652372
15086,5530.512788
15087,6602.622872
15088,4162.337579999999
15089,4385.634835999999
15090,6357.579725999999
15091,5099.823136000001
15092,4529.731817999999
15093,6241.787842
15094,4947.903074
15095,6465.371112
15096,6079.471530000001
15097,7302.571215999999
15098,5607.907138
15099,6721.949309999999
15100,4821.924138
15101,5055.1406480000005
15102,3083.6837299999997
15103,5860.004975999999
15104,5812.96822
15105,6120.424142000001
15106,5594.9172340000005
15107,4107.36093
15108,7214.719488000001
15109,6034.200168
15110,6588.468112
15111,7038.438769999999
15112,5515.623812
15113,6704.302562
15114,7378.235572
15115,7379.97133
15116,4662.85856
15117,7171.9420199999995
15118,5975.19624
15119,7461.390438
